uri,normalized,hisco_category,provenance
,besteller,https://iisg.amsterdam/resource/hisco/code/hisco/37040,jaikwil
,betielbakker,https://iisg.amsterdam/resource/hisco/code/hisco/89210,jaikwil
,betielkoper,https://iisg.amsterdam/resource/hisco/code/hisco/42220,jaikwil
,betielschilder,https://iisg.amsterdam/resource/hisco/code/hisco/89520,jaikwil
,betielverkoper,https://iisg.amsterdam/resource/hisco/code/hisco/45125,jaikwil
,beursenmaker,https://iisg.amsterdam/resource/hisco/code/hisco/76190,jaikwil
,beursknecht,https://iisg.amsterdam/resource/hisco/code/hisco/39990,jaikwil
,beursveger,https://iisg.amsterdam/resource/hisco/code/hisco/55290,jaikwil
,beurtschipper,https://iisg.amsterdam/resource/hisco/code/hisco/4220,jaikwil
,beurzenmaker,https://iisg.amsterdam/resource/hisco/code/hisco/80310,jaikwil
,bewindhebber VOC,https://iisg.amsterdam/resource/hisco/code/hisco/21110,jaikwil
,bezaantouwer,https://iisg.amsterdam/resource/hisco/code/hisco/76125,jaikwil
,bezaanwerker,https://iisg.amsterdam/resource/hisco/code/hisco/76125,jaikwil
,bezembinder,https://iisg.amsterdam/resource/hisco/code/hisco/94240,jaikwil
,bezemmaker,https://iisg.amsterdam/resource/hisco/code/hisco/92110,jaikwil
,bezemmaker,https://iisg.amsterdam/resource/hisco/code/hisco/80300,jaikwil
,bezemmaker,https://iisg.amsterdam/resource/hisco/code/hisco/94240,jaikwil
,bezemmakersgezel,https://iisg.amsterdam/resource/hisco/code/hisco/80300,jaikwil
,bierbescheper,https://iisg.amsterdam/resource/hisco/code/hisco/97125,jaikwil
,bierbeschooier,https://iisg.amsterdam/resource/hisco/code/hisco/41025,jaikwil
,bierbeschooiersknecht,https://iisg.amsterdam/resource/hisco/code/hisco/41025,jaikwil
,bierdrager,https://iisg.amsterdam/resource/hisco/code/hisco/97125,jaikwil
,bierhaler,https://iisg.amsterdam/resource/hisco/code/hisco/97190,jaikwil
,bierscheepsknecht,https://iisg.amsterdam/resource/hisco/code/hisco/62430,jaikwil
,bierschuitvoerder,https://iisg.amsterdam/resource/hisco/code/hisco/98690,jaikwil
,biersteker,https://iisg.amsterdam/resource/hisco/code/hisco/77825,jaikwil
,bierwerker,https://iisg.amsterdam/resource/hisco/code/hisco/77810,jaikwil
,biksteenman,https://iisg.amsterdam/resource/hisco/code/hisco/71200,jaikwil
,biksteenverkoper,https://iisg.amsterdam/resource/hisco/code/hisco/71200,jaikwil
,binnenlandsschipper,https://iisg.amsterdam/resource/hisco/code/hisco/4220,jaikwil
,binnenlandsvaarder,https://iisg.amsterdam/resource/hisco/code/hisco/4220,jaikwil
,binnenlandsvaarder (Groningerland),https://iisg.amsterdam/resource/hisco/code/hisco/4220,jaikwil
,binnenlandsvaarder (scheeps),https://iisg.amsterdam/resource/hisco/code/hisco/4220,jaikwil
,binnenlandsvaardergezel,https://iisg.amsterdam/resource/hisco/code/hisco/4220,jaikwil
,binnenlandsvaardersgezel,https://iisg.amsterdam/resource/hisco/code/hisco/4220,jaikwil
,binnenschipper,https://iisg.amsterdam/resource/hisco/code/hisco/4220,jaikwil
,binnenvader,https://iisg.amsterdam/resource/hisco/code/hisco/22460,jaikwil
,blauwhoedenmaker,https://iisg.amsterdam/resource/hisco/code/hisco/42220,jaikwil
,blauwsatijnwerker,https://iisg.amsterdam/resource/hisco/code/hisco/75625,jaikwil
,blauwselmaker,https://iisg.amsterdam/resource/hisco/code/hisco/74100,jaikwil
,blauwsteenkoper,https://iisg.amsterdam/resource/hisco/code/hisco/42220,jaikwil
,blauwverver,https://iisg.amsterdam/resource/hisco/code/hisco/75622,jaikwil
,blauwverversgezel,https://iisg.amsterdam/resource/hisco/code/hisco/75622,jaikwil
,blauwverversknecht,https://iisg.amsterdam/resource/hisco/code/hisco/75622,jaikwil
,blauwwerker,https://iisg.amsterdam/resource/hisco/code/hisco/75622,jaikwil
,blauwwever,https://iisg.amsterdam/resource/hisco/code/hisco/75452,jaikwil
,bleker,https://iisg.amsterdam/resource/hisco/code/hisco/56010,jaikwil
,Bleker,https://iisg.amsterdam/resource/hisco/code/hisco/56010,jaikwil
,blekersgast,https://iisg.amsterdam/resource/hisco/code/hisco/56010,jaikwil
,blikslager,https://iisg.amsterdam/resource/hisco/code/hisco/87340,jaikwil
,blikwerker,https://iisg.amsterdam/resource/hisco/code/hisco/87340,jaikwil
,blindeman,https://iisg.amsterdam/resource/hisco/code/hisco/62210,jaikwil
,blokmaker,https://iisg.amsterdam/resource/hisco/code/hisco/81990,jaikwil
,blokmaker (kistenmaker),https://iisg.amsterdam/resource/hisco/code/hisco/81990,jaikwil
,blokmakersgezel,https://iisg.amsterdam/resource/hisco/code/hisco/81990,jaikwil
,bode,https://iisg.amsterdam/resource/hisco/code/hisco/37040,jaikwil
,bode (gerecht),https://iisg.amsterdam/resource/hisco/code/hisco/37040,jaikwil
,bode (reizend),https://iisg.amsterdam/resource/hisco/code/hisco/37040,jaikwil
,bode (stads),https://iisg.amsterdam/resource/hisco/code/hisco/37040,jaikwil
,boeijerschipper,https://iisg.amsterdam/resource/hisco/code/hisco/4220,jaikwil
,Boeijerschipper,https://iisg.amsterdam/resource/hisco/code/hisco/4217,jaikwil
,boejerschipper,https://iisg.amsterdam/resource/hisco/code/hisco/4220,jaikwil
,boekbinder,https://iisg.amsterdam/resource/hisco/code/hisco/92625,jaikwil
,Boekbinder,https://iisg.amsterdam/resource/hisco/code/hisco/92625,jaikwil
,boekdrukker,https://iisg.amsterdam/resource/hisco/code/hisco/92110,jaikwil
,boekdrukkersgezel,https://iisg.amsterdam/resource/hisco/code/hisco/92110,jaikwil
,boekenmaker,https://iisg.amsterdam/resource/hisco/code/hisco/92110,jaikwil
,boekhandelaar,https://iisg.amsterdam/resource/hisco/code/hisco/41025,jaikwil
,boekhouder,https://iisg.amsterdam/resource/hisco/code/hisco/33110,jaikwil
,boekkoper,https://iisg.amsterdam/resource/hisco/code/hisco/41025,jaikwil
,boekmaker,https://iisg.amsterdam/resource/hisco/code/hisco/92110,jaikwil
,boekslotenmaker,https://iisg.amsterdam/resource/hisco/code/hisco/88000,jaikwil
,boekvergulder,https://iisg.amsterdam/resource/hisco/code/hisco/92400,jaikwil
,boekverkoper,https://iisg.amsterdam/resource/hisco/code/hisco/41025,jaikwil
