uri,label,sameAs_tgn,sameAs_geonames,sameAs_ecartico,provenance
,Badbergen,,,http://www.vondel.humanities.uva.nl/ecartico/places/3105,ga
,Balk,,http://sws.geonames.org/2759472/,http://www.vondel.humanities.uva.nl/ecartico/places/1152,ga
,Barbados,,http://sws.geonames.org/3374085/,http://www.vondel.humanities.uva.nl/ecartico/places/1767,ga
,Barcelona,,http://sws.geonames.org/3128760/,http://www.vondel.humanities.uva.nl/ecartico/places/3069,ga
,Barcelonnette,,,http://www.vondel.humanities.uva.nl/ecartico/places/3068,ga
,Barneveld,,http://sws.geonames.org/2759407/,http://www.vondel.humanities.uva.nl/ecartico/places/34,ga
,Barsingerhorn,,http://sws.geonames.org/2759397/,http://www.vondel.humanities.uva.nl/ecartico/places/930,ga
,Basel,,http://sws.geonames.org/2661604/,http://www.vondel.humanities.uva.nl/ecartico/places/35,ga
,Batavia,,http://sws.geonames.org/1642911/,http://www.vondel.humanities.uva.nl/ecartico/places/36,ga
,Bayeux,,,http://www.vondel.humanities.uva.nl/ecartico/places/1039,ga
,Bayonne,,http://sws.geonames.org/3034475/,http://www.vondel.humanities.uva.nl/ecartico/places/792,ga
,Beetsterzwaag,,,http://www.vondel.humanities.uva.nl/ecartico/places/40,ga
,Bennebroek,,http://sws.geonames.org/2759199/,http://www.vondel.humanities.uva.nl/ecartico/places/2227,ga
,Bennekom,,http://sws.geonames.org/2759197/,http://www.vondel.humanities.uva.nl/ecartico/places/1664,ga
,Benningbroek,,http://sws.geonames.org/2759191/,http://www.vondel.humanities.uva.nl/ecartico/places/2363,ga
,Bentheim,,,http://www.vondel.humanities.uva.nl/ecartico/places/821,ga
,Bergen (Mons),,,http://www.vondel.humanities.uva.nl/ecartico/places/44,ga
,Bergen (Noorwegen),,,http://www.vondel.humanities.uva.nl/ecartico/places/45,ga
,Bergen NH,,,http://www.vondel.humanities.uva.nl/ecartico/places/1012,ga
,Bergen op Zoom,,http://sws.geonames.org/2759145/,http://www.vondel.humanities.uva.nl/ecartico/places/46,ga
,Berlijn,,http://sws.geonames.org/2950159/,http://www.vondel.humanities.uva.nl/ecartico/places/48,ga
,Bermuda,,,http://www.vondel.humanities.uva.nl/ecartico/places/3074,ga
,Bern,,http://sws.geonames.org/2661552/,http://www.vondel.humanities.uva.nl/ecartico/places/738,ga
